gameid,date,league,patch,blue,red,blue_win,best_of
LTA North/2026 Season/Promotion_Round 1_2_1,2025-10-06 20:07:00,LTA North,25.19,Disguised,Estral Esports,1,1
LTA North/2026 Season/Promotion_Round 1_2_2,2025-10-06 21:09:00,LTA North,25.19,Estral Esports,Disguised,1,1
LTA North/2026 Season/Promotion_Round 1_2_3,2025-10-07 00:00:00,LTA North,25.19,Disguised,Estral Esports,1,1
LTA North/2026 Season/Promotion_Round 1_2_4,2025-10-07 20:09:00,LTA North,25.19,Disguised,Estral Esports,1,1
LTA South/2026 Season/Promotion_Finals_1_1,2025-10-08 16:10:00,LTA South,25.19,Isurus,Alpha7 Esports,1,1
LTA South/2026 Season/Promotion_Finals_1_2,2025-10-08 16:57:00,LTA South,25.19,Alpha7 Esports,Isurus,0,1
LTA South/2026 Season/Promotion_Finals_1_3,2025-10-08 17:48:00,LTA South,25.19,Alpha7 Esports,Isurus,0,1
LTA North/2026 Season/Promotion_Round 2_1_1,2025-10-08 20:08:00,LTA North,25.19,Disguised,Luminosity Gaming,1,1
LTA North/2026 Season/Promotion_Round 2_1_2,2025-10-08 21:18:00,LTA North,25.19,Luminosity Gaming,Disguised,0,1
LTA North/2026 Season/Promotion_Round 2_1_3,2025-10-08 22:06:00,LTA North,25.19,Luminosity Gaming,Disguised,0,1
LTA North/2026 Season/Promotion_Round 1_3_1,2025-10-09 20:09:00,LTA North,25.19,SDM Tigres,Estral Esports,0,1
LTA North/2026 Season/Promotion_Round 1_3_2,2025-10-09 21:04:00,LTA North,25.19,SDM Tigres,Estral Esports,0,1
LTA North/2026 Season/Promotion_Round 1_3_3,2025-10-09 22:00:00,LTA North,25.19,Estral Esports,SDM Tigres,1,1
LTA North/2026 Season/Promotion_Round 2_2_1,2025-10-10 20:08:00,LTA North,25.19,Luminosity Gaming,Estral Esports,1,1
LTA North/2026 Season/Promotion_Round 2_2_2,2025-10-10 20:53:00,LTA North,25.19,Luminosity Gaming,Estral Esports,1,1
